game_id,min_players,max_players,avg_players,min_duration,max_duration,avg_duration,min_age,max_age,avg_age,thematics_count,categories_count,cat_Для_компании,cat_Для_двоих,cat_Тематические,cat_Приключенческие_игры,cat_Кооперативные_игры,cat_Для_одного,cat_Карточные_игры,cat_Детективные_игры,cat_Экономические_игры,cat_Вселенная,cat_Лавкрафта,cat_Загадки_и_расследования,cat_Для_коллег,cat_Что_подарить_на_8_марта?,cat_Игры_с_мобильным_приложением,theme_Стратегические_игры,theme_Игры_по_вселенным,theme_Хардкорные_игры,theme_Семейные_игры,theme_Ужас,theme_Вечериночные_игры,theme_Аркхэма.,theme_Аркхэма_(,theme_Arkham,theme_Horror
61,1,4,2.5,60,120,90.0,18,0,9.0,9,4,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
62,1,4,2.5,90,120,105.0,13,0,6.5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
63,2,5,3.5,20,90,55.0,11,0,5.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,5,3.5,30,45,37.5,7,0,3.5,3,6,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
65,1,4,2.5,60,60,60.0,14,0,7.0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,1,4,2.5,30,120,75.0,18,0,9.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2,4,3.0,60,60,60.0,16,0,8.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3,8,5.5,30,30,30.0,8,0,4.0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,2,4,3.0,40,60,50.0,12,0,6.0,2,5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
70,1,5,3.0,115,115,115.0,14,0,7.0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
71,1,8,4.5,120,240,180.0,18,0,9.0,8,11,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1
72,3,6,4.5,240,480,360.0,13,0,6.5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
73,1,6,3.5,120,180,150.0,14,0,7.0,10,8,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1
74,1,6,3.5,60,0,30.0,18,0,9.0,4,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
75,2,5,3.5,60,90,75.0,13,0,6.5,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
76,1,4,2.5,90,90,90.0,12,0,6.0,4,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
77,3,6,4.5,30,0,15.0,12,0,6.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,4,2.5,30,120,75.0,13,0,6.5,4,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
79,1,7,4.0,60,60,60.0,10,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,2,2.0,20,20,20.0,7,0,3.5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,2,6,4.0,35,0,17.5,7,0,3.5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,2,5,3.5,120,180,150.0,13,0,6.5,2,7,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
83,2,6,4.0,20,60,40.0,12,0,6.0,5,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,2,4,3.0,120,180,150.0,14,0,7.0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
85,2,5,3.5,30,45,37.5,7,0,3.5,5,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
86,1,4,2.5,120,180,150.0,13,0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,4,2.5,60,120,90.0,10,0,5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2,5,3.5,30,40,35.0,12,0,6.0,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
89,1,3,2.0,120,150,135.0,13,0,6.5,2,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
90,1,5,3.0,90,120,105.0,16,0,8.0,3,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,1,4,2.5,30,120,75.0,18,0,9.0,4,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
92,1,4,2.5,30,45,37.5,11,0,5.5,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,1,4,2.5,60,90,75.0,12,0,6.0,2,11,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
94,2,4,3.0,30,30,30.0,8,0,4.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,4,2.5,180,240,210.0,13,0,6.5,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
96,2,5,3.5,40,80,60.0,8,0,4.0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
