game_id,name,min_players,max_players,avg_players,min_duration,max_duration,avg_duration,min_age,max_age,avg_age,thematics_raw,categories_raw,thematics_list,categories_list,thematics_count,categories_count,cat_Для_компании,cat_Для_двоих,cat_Тематические,cat_Приключенческие_игры,cat_Кооперативные_игры,cat_Для_одного,cat_Карточные_игры,cat_Детективные_игры,cat_Экономические_игры,cat_Вселенная,cat_Лавкрафта,cat_Загадки_и_расследования,cat_Для_коллег,cat_Что_подарить_на_8_марта?,cat_Игры_с_мобильным_приложением,theme_Стратегические_игры,theme_Игры_по_вселенным,theme_Хардкорные_игры,theme_Семейные_игры,theme_Ужас,theme_Вечериночные_игры,theme_Аркхэма.,theme_Аркхэма_(,theme_Arkham,theme_Horror
16,Мачи Коро,2,5,3.5,30,45,37.5,7,0,3.5,"Семейные игры, Мачи, Коро","Тематические, Для двоих, Для компании, Для коллег, Карточные игры, Экономические игры","['Семейные игры', 'Мачи', 'Коро']","['Тематические', 'Для двоих', 'Для компании', 'Для коллег', 'Карточные игры', 'Экономические игры']",3,6,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17,Лорды Ваалы: Связь Драконов,1,4,2.5,60,60,60.0,14,0,7.0,Стратегические игры,"Тематические, Для одного, Для двоих",['Стратегические игры'],"['Тематические', 'Для одного', 'Для двоих']",1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Набор игр,1,4,2.5,30,120,75.0,18,0,9.0,"Oathsworn:, Верные клятве, Наборы игр",,"['Oathsworn:', 'Верные клятве', 'Наборы игр']",[],3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Городской убийца,2,4,3.0,60,60,60.0,16,0,8.0,"Интервью с создателями, Городского убийцы",,"['Интервью с создателями', 'Городского убийцы']",[],2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Диамант,3,8,5.5,30,30,30.0,8,0,4.0,Семейные игры,"Для компании, Приключенческие игры",['Семейные игры'],"['Для компании', 'Приключенческие игры']",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,Зомби в доме: Заражение,2,4,3.0,40,60,50.0,12,0,6.0,"Семейные игры, Зомби в доме","Тематические, Что подарить на 8 марта?, Для компании, Кооперативные игры, Приключенческие игры","['Семейные игры', 'Зомби в доме']","['Тематические', 'Что подарить на 8 марта?', 'Для компании', 'Кооперативные игры', 'Приключенческие игры']",2,5,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22,Серп,1,5,3.0,115,115,115.0,14,0,7.0,"Хардкорные игры, Стратегические игры, Серп","Для двоих, Для компании","['Хардкорные игры', 'Стратегические игры', 'Серп']","['Для двоих', 'Для компании']",3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23,Древний ужас,1,8,4.5,120,240,180.0,18,0,9.0,"Древний, Ужас, Игры по вселенным, Ужас, Аркхэма (, Arkham, Horror, Files)","Тематические, Детективные игры, Вселенная, Лавкрафта, Для одного, Для двоих, Для компании, Для коллег, Загадки и расследования, Кооперативные игры, Приключенческие игры","['Древний', 'Ужас', 'Игры по вселенным', 'Ужас', 'Аркхэма (', 'Arkham', 'Horror', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная', 'Лавкрафта', 'Для одного', 'Для двоих', 'Для компании', 'Для коллег', 'Загадки и расследования', 'Кооперативные игры', 'Приключенческие игры']",8,11,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1
24,Сумерки империи. Четвёртое издание,3,6,4.5,240,480,360.0,13,0,6.5,"Космос ближе, чем кажется, Сумерки, Империи, Хардкорные игры, Стратегические игры, Игры по вселенным",Тематические,"['Космос ближе', 'чем кажется', 'Сумерки', 'Империи', 'Хардкорные игры', 'Стратегические игры', 'Игры по вселенным']",['Тематические'],7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
25,Ужас Аркхэма. Третья редакция,1,6,3.5,120,180,150.0,14,0,7.0,"Хардкорные игры, Ужас, Аркхэма., Настольная игра, Игры по вселенным, Ужас, Аркхэма (, Arkham, Horror, Files)","Тематические, Детективные игры, Вселенная, Лавкрафта, Для компании, Загадки и расследования, Кооперативные игры, Приключенческие игры","['Хардкорные игры', 'Ужас', 'Аркхэма.', 'Настольная игра', 'Игры по вселенным', 'Ужас', 'Аркхэма (', 'Arkham', 'Horror', 'Files)']","['Тематические', 'Детективные игры', 'Вселенная', 'Лавкрафта', 'Для компании', 'Загадки и расследования', 'Кооперативные игры', 'Приключенческие игры']",10,8,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1
